,total_rewards
191,-105.4735780544579
192,-133.96832052478567
193,-127.00234804768115
194,-357.25013537704945
195,-160.9697019085288
196,-154.98391637951136
197,0.4411895275115967
198,-132.19347317144275
199,-103.06170100346208
200,-191.1836122982204
201,-256.80826651863754
202,-210.95374508202076
203,-345.15533570945263
204,-212.68213717499748
205,-57.62317645922303
206,-71.75774135068059
207,-243.23669569194317
208,-231.64270778000355
209,-325.31963507831097
210,-350.0885042510927
211,-386.17127386224456
212,-206.12584657222033
213,-227.95185906160623
214,-270.1998605802655
215,-92.38189164176583
216,-130.5911002708599
217,-344.8305178445298
218,-77.26535330340266
219,-222.07211700081825
220,-233.8189032226801
221,-221.50278914324008
222,-156.59582963213325
223,-127.33153615100309
224,-62.70496607944369
225,-160.3536998219788
226,-149.37699947878718
227,-206.02479892224073
228,-368.626910103485
229,-267.02335745841265
230,-133.9150766269304
231,-124.56837001536041
232,-59.954635879956186
233,-180.93385679274797
234,-90.78532293066382
235,-206.2995744748041
236,-208.79587228177115
237,-152.61805742047727
238,-443.38209138810635
239,-130.3522074930952
240,-97.44509898126125
241,-58.36869600659702
242,-104.2068721302785
243,-79.73182047531009
244,-322.94371458888054
245,-168.89407148957253
246,-197.18908266723156
247,-359.1301170922816
248,-194.88401301205158
249,-104.64075714349747
250,-178.99147087987512
251,-95.77234730729833
252,-67.41664292383939
253,-56.75927083007991
254,-267.2915099505335
255,-303.7481733337045
256,-115.19425845332444
257,-195.68845146498643
258,-84.177172139287
259,-274.5490508377552
260,-103.04395660758018
261,-99.68640625011176
262,-226.0485562570393
263,-133.64225833676755
264,-38.18801674246788
265,-339.56205397844315
266,-207.3605704708025
267,-313.45284059643745
268,-271.7518554907292
269,-243.9516086578369
270,-115.99586447142065
271,-156.7424493636936
272,-133.11221093311906
273,-139.8543009981513
274,-234.84466268122196
275,-68.71243490325287
276,-138.24430657876655
277,-272.7094653919339
278,-76.94619065523148
279,-221.06888941675425
280,-158.92224548384547
281,-120.06368749402463
282,-214.87015671655536
283,-114.30863475054502
284,-245.1011704923585
285,-137.9664952531457
286,-196.69685945031233
287,-174.3994953809306
288,-226.49440436065197
289,-166.7299561239779
290,-262.1968668140471
291,-122.50279340241104
292,-246.48918437957764
293,-83.51189681515098
294,-158.45146781764925
295,-101.82800428103656
296,-159.3137158146128
297,-62.603538231924176
298,-85.74166962411255
299,-277.01353900152026
