,epsilons
121,0.9889376500998724
122,0.9888474877559251
123,0.9887573337161312
124,0.9886671879797254
125,0.9885770505459435
126,0.9884869214140205
127,0.9883968005831918
128,0.9883066880526928
129,0.9882165838217593
130,0.9881264878896266
131,0.9880364002555306
132,0.9879463209187068
133,0.9878562498783912
134,0.9877661871338195
135,0.9876761326842277
136,0.9875860865288519
137,0.9874960486669281
138,0.9874060190976924
139,0.9873159978203812
140,0.9872259848342307
141,0.9871359801384773
142,0.9870459837323572
143,0.9869559956151073
144,0.9868660157859638
145,0.9867760442441637
146,0.9866860809889434
147,0.9865961260195399
148,0.98650617933519
149,0.9864162409351306
150,0.9863263108185987
151,0.9862363889848315
152,0.9861464754330659
153,0.9860565701625392
154,0.9859666731724889
155,0.9858767844621519
156,0.985786904030766
157,0.9856970318775686
158,0.9856071680017973
159,0.9855173124026896
160,0.9854274650794832
161,0.985337626031416
162,0.9852477952577257
163,0.9851579727576503
164,0.9850681585304277
165,0.9849783525752963
166,0.9848885548914937
167,0.9847987654782584
168,0.9847089843348286
169,0.9846192114604425
170,0.9845294468543389
171,0.9844396905157557
172,0.984349942443932
173,0.984260202638106
174,0.9841704710975167
175,0.9840807478214026
176,0.9839910328090027
177,0.9839013260595556
178,0.9838116275723007
179,0.9837219373464766
180,0.9836322553813228
181,0.9835425816760782
182,0.9834529162299822
183,0.983363259042274
184,0.983273610112193
185,0.9831839694389787
186,0.9830943370218707
187,0.9830047128601083
188,0.9829150969529314
189,0.9828254892995799
190,0.9827358898992933
191,0.9826462987513115
192,0.9825567158548747
193,0.9824671412092226
194,0.9823775748135954
195,0.9822880166672334
196,0.9821984667693766
197,0.9821089251192655
198,0.9820193917161402
199,0.9819298665592414
200,0.9818403496478094
201,0.981750840981085
202,0.9816613405583087
203,0.9815718483787211
204,0.9814823644415633
205,0.9813928887460759
206,0.9813034212914997
207,0.9812139620770761
208,0.9811245111020459
209,0.9810350683656504
210,0.9809456338671305
211,0.9808562076057277
212,0.9807667895806833
213,0.9806773797912387
214,0.9805879782366355
215,0.980498584916115
216,0.980409199828919
217,0.9803198229742892
218,0.9802304543514674
219,0.9801410939596954
220,0.9800517417982149
221,0.979962397866268
222,0.9798730621630969
